cut,chave,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel
group,NEWS_BRASILDEFATO,136,0,0.0,0.9191176470588235,,0.0,,,0.047260922757569254,False
group,NEWS_ECO,68,0,0.0,0.9117647058823529,,0.0,,,0.0803713776821548,False
group,NEWS_OECO,70,0,0.0,0.8857142857142857,,0.0,,,0.07020887268353707,False
group,NEWS_PODER360,200,0,0.0,0.885,,0.0,,,0.07271747951977844,False
group,fakes,3052,0,100.0,0.8309305373525557,,0.9076592698639943,,,0.06409275309352507,False
group,true,406,0,0.0,0.6576354679802956,,0.0,,,0.1450141050501323,False
channel,social,387,4,99.0,0.9224806201550387,0.5385532591414944,0.9594594594594594,0.8727154046997389,0.9985131121255509,0.053866276192573614,False
channel,external_claim,1488,743,49.9,0.6256720430107527,0.6234227611284195,0.5943190094683175,0.6768749943544672,0.6828853515282038,0.023726489123527397,True
channel,whatsapp,957,357,37.3,0.6666666666666666,0.6651691850753438,0.6427771556550952,0.7790429505135388,0.644784201091379,0.06879390473973412,True
channel,agency_claim,8477,720,91.5,0.8445204671463962,0.6814657401116182,0.9093659744189245,0.8704986893558506,0.9859973767696539,0.033233316481871125,True
channel,covid,346,135,39.0,0.8034682080924855,0.8008059873344848,0.7777777777777778,0.8945409864841144,0.8316051091183128,0.029372030352014338,True
channel,portal,1081,470,56.5,0.9722479185938946,0.9717536268238638,0.9754901960784313,0.994727861545426,0.9962798746724901,0.028865117081801686,True
channel,llm,45,16,64.4,0.9777777777777777,0.9760765550239234,0.9824561403508771,0.9978448275862069,0.9988505747126435,0.0020452702996651842,False
channel,press_true,880,0,0.0,0.7875,,0.0,,,0.0503975783682254,False
publisher,comprova,143,3,97.9,0.9230769230769231,0.48,0.96,0.4095238095238095,0.9795600947221476,0.039696812462155985,False
publisher,observador,124,2,98.4,0.9354838709677419,0.48333333333333334,0.9666666666666667,0.6311475409836066,0.9926363608561544,0.09299342929829599,False
publisher,aosfatos,122,1,99.2,0.9508196721311475,0.48739495798319327,0.9747899159663865,0.7603305785123967,0.9977673751715055,0.06512156743272952,False
publisher,folha,32,1,96.9,0.96875,0.49206349206349204,0.9841269841269841,0.6774193548387096,0.9881392920897017,0.018455579418789853,False
publisher,lupa,215,4,98.1,0.9534883720930233,0.5713716108452951,0.9760765550239234,0.773696682464455,0.9937452480526547,0.09743300033323109,False
publisher,ext_liarbr,1049,423,40.3,0.5986653956148713,0.5749058857615337,0.47440699126092384,0.6190152493598895,0.514594909096653,0.027012573370285297,True
publisher,poligrafo,1625,622,61.7,0.6510769230769231,0.6506911869353291,0.6622989874925551,0.7321187562713787,0.8269498966462675,0.02746610322195594,True
publisher,ext_averitecbr,439,119,72.9,0.6902050113895216,0.6588966588966589,0.7622377622377622,0.7491596638655462,0.8669363712148077,0.037422484617024375,True
publisher,efarsas,481,62,87.1,0.8357588357588358,0.6596444086165972,0.9044740024183797,0.720032335052737,0.9309856243047242,0.05124571731622384,True
publisher,bereia,30,6,80.0,0.8333333333333334,0.673202614379085,0.9019607843137255,0.9305555555555556,0.9823455315660692,0.10812190754106835,False
publisher,desconhecido,5921,1707,71.2,0.8177672690423915,0.7839000294446894,0.8694494857834241,0.8922248181571235,0.9503746653687952,0.02466380917361226,True
publisher,g1,478,17,96.4,0.9790794979079498,0.8556763285024154,0.9891304347826086,0.9561056526732168,0.9979686735877953,0.058287651547212764,False
publisher,afp,157,0,100.0,0.9490445859872612,,0.9738562091503268,,,0.07497317157800505,False
publisher,boatos,1718,0,100.0,0.9563445867287543,,0.9776852127343053,,,0.04989022598230347,False
publisher,boatos.org,251,0,100.0,0.9482071713147411,,0.9734151329243353,,,0.08719587598729611,False
publisher,brasildefato,136,0,0.0,0.9191176470588235,,0.0,,,0.047260922757569254,False
publisher,eco,68,0,0.0,0.9117647058823529,,0.0,,,0.0803713776821548,False
publisher,estadao,221,0,100.0,0.9502262443438914,,0.974477958236659,,,0.06514219628320904,False
publisher,oeco,70,0,0.0,0.8857142857142857,,0.0,,,0.07020887268353707,False
publisher,poder360,200,0,0.0,0.885,,0.0,,,0.07271747951977844,False
publisher,sbt,30,0,100.0,0.7666666666666667,,0.8679245283018868,,,0.1487035489580848,False
publisher,uol,118,0,100.0,0.9322033898305084,,0.9649122807017544,,,0.05913654986129534,False
era,2018-2022,5907,1341,77.3,0.7993905535804977,0.7320058171755228,0.8663885443680235,0.84862043251305,0.9469666730645712,0.02505006237041204,True
era,>=2023,3176,550,82.7,0.8236775818639799,0.7490444680740586,0.8859005704971475,0.8834064944956034,0.9742964435875945,0.04016363327224909,True
era,sem_data,3407,1339,60.7,0.8285882007631348,0.8216281538218799,0.8568627450980392,0.9227840430587797,0.9528944082151366,0.018220353553225425,True
era,<=2017,1171,416,64.5,0.8454312553373186,0.8350325535781695,0.8764505119453925,0.927846408558329,0.9525634372759074,0.029339603053687636,True
label_tier,checker_match,616,16,97.4,0.926948051948052,0.6345659481906268,0.961439588688946,0.8026041666666667,0.990234050881043,0.06158755623750723,False
label_tier,checker,6657,1456,78.1,0.7990085624155024,0.7393416791761444,0.8640520219467588,0.8624612025159997,0.9604005029299354,0.02831830662616388,True
label_tier,v1,5921,1707,71.2,0.8177672690423915,0.7839000294446894,0.8694494857834241,0.8922248181571235,0.9503746653687952,0.02466380917361226,True
label_tier,llm_local,464,0,0.0,0.896551724137931,,0.0,,,0.03556703163295524,False
